amount,TxID,decimals,symbol,underlyingAsset,timestamp,txHash,UserID,Coin IDs,Transaction Date
250000000,64646499:52:0x6c8ebc6477b8f8a8d7e0a2bfc32cb68afa083a5701ba69c5ba5d3a9a66b0207d:333:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732390201,0x6c8ebc6477b8f8a8d7e0a2bfc32cb68afa083a5701ba69c5ba5d3a9a66b0207d,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,23-Nov-24
10000000,64581933:42:0xd39eb5d61a11c82ac5f8c70a611427847275300a20ba30a6031b405b369e78c3:430:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732251167,0xd39eb5d61a11c82ac5f8c70a611427847275300a20ba30a6031b405b369e78c3,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,22-Nov-24
20000000,64581806:38:0xf32351f4e59d0fc3859957ba5fbfc700fc398b61955ff7e340bdb0ae2746fe03:182:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732250897,0xf32351f4e59d0fc3859957ba5fbfc700fc398b61955ff7e340bdb0ae2746fe03,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,22-Nov-24
15000000,64581560:105:0x37f8057a7b6721ba5f0bbe67835feb4d330f2d35a9ea27fc7ecf4702f30ab5a0:631:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732250361,0x37f8057a7b6721ba5f0bbe67835feb4d330f2d35a9ea27fc7ecf4702f30ab5a0,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,22-Nov-24
20000000,64581303:52:0x356a2f6bc17a369fd0d022becb5109644c4ccf5090cb3eed5b0820642dcb8a27:336:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732249797,0x356a2f6bc17a369fd0d022becb5109644c4ccf5090cb3eed5b0820642dcb8a27,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,22-Nov-24
10000000,64580096:57:0x6454b0745a4c0994332a74530af0086a144a5a0f9132dd5ae76c15d500fbf99d:267:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732247229,0x6454b0745a4c0994332a74530af0086a144a5a0f9132dd5ae76c15d500fbf99d,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,22-Nov-24
10000000,64579971:58:0x0929020f63b881bce6dab06bfbb99969316d93120d6d9fbb3485e1d82a6ac69d:474:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732246963,0x0929020f63b881bce6dab06bfbb99969316d93120d6d9fbb3485e1d82a6ac69d,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,22-Nov-24
15000000,64579849:51:0x5e6c76a1defa36976cd6a385556f94a82dc7639d01384501a520c2bf98da5a96:237:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732246703,0x5e6c76a1defa36976cd6a385556f94a82dc7639d01384501a520c2bf98da5a96,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,22-Nov-24
287018903,68698802:35:0xa9b05fde7a1372e3a7867972a1fa6bc16575e952178d301093d131726c45f804:158:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1741226861,0xa9b05fde7a1372e3a7867972a1fa6bc16575e952178d301093d131726c45f804,0x09fa0edbac72eee8a932fd913f7f7460521a1504,1,06-Mar-25
600000000,68696046:60:0xb2f146dc844e11cf1205753dd4fb0a47c43b9580be1b2ca49629f32d924b1cde:212:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1741220885,0xb2f146dc844e11cf1205753dd4fb0a47c43b9580be1b2ca49629f32d924b1cde,0x64d74578ec4cbe10158112f1e4fdcc4dbef1bb7f,1,06-Mar-25
